테스트번호,유저역할,유저아이디,테스트카테고리,메세지,응답결과_스테이터스코드,main버블,sub버블,cta버블,응답시간(ms),성공여부,검증오류,실행시간,응답결과_바디
51,User_S,Hyunse0001,general,授業で使用する教材は自分で準備しますか？,200,3.14では、すべての教材を塾側で用意しており、生徒様が個別に教材を購入したり準備したりする必要はございません。また、一人ひとりの学力や目標に合わせて最適な教材を選定させていただいております。,,ご不明な点がございましたら、お気軽に各教室までお問い合わせください。また、無料の体験授業では実際の教材をご覧いただくことも可能です。,3287,성공,,2025-07-27T13:55:25.825Z,"[{""type"":""main"",""text"":""3.14では、すべての教材を塾側で用意しており、生徒様が個別に教材を購入したり準備したりする必要はございません。また、一人ひとりの学力や目標に合わせて最適な教材を選定させていただいております。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、お気軽に各教室までお問い合わせください。また、無料の体験授業では実際の教材をご覧いただくことも可能です。"",""attachment"":null}]"
52,User_S,Hyunse0001,general,宿題はたくさん出ますか？,200,3.14では、生徒一人ひとりの学力や目標に合わせて、最適な量と内容の宿題を提供しています。無理のない範囲で、確実な学力向上につながる宿題を設定します。,,ご不安な点がございましたら、まずは無料の体験授業やカウンセリングでご相談ください。担当講師が丁寧にご説明させていただきます。,3005,성공,,2025-07-27T13:55:29.832Z,"[{""type"":""main"",""text"":""3.14では、生徒一人ひとりの学力や目標に合わせて、最適な量と内容の宿題を提供しています。無理のない範囲で、確実な学力向上につながる宿題を設定します。"",""attachment"":null},{""type"":""cta"",""text"":""ご不安な点がございましたら、まずは無料の体験授業やカウンセリングでご相談ください。担当講師が丁寧にご説明させていただきます。"",""attachment"":null}]"
53-1,User_S,Hyunse0001,general,成績があまり良くないのですが、入会テストはありますか？,200,3.14では、合否を決めるような入会テストは一切実施していません。その代わりに、お子様の現在の学力を正確に把握し、最適な学習プランを立てるための体験授業を実施させていただいております。,,ご安心ください。3.14は一人ひとりの生徒さんに寄り添い、その子に合った指導方法で確実に成績アップを目指します。まずは無料の体験授業にお気軽にご参加ください。体験授業では、現在の学習状況や目標についてもじっくりとお話を伺わせていただきます。,5022,성공,,2025-07-27T13:55:35.858Z,"[{""type"":""main"",""text"":""3.14では、合否を決めるような入会テストは一切実施していません。その代わりに、お子様の現在の学力を正確に把握し、最適な学習プランを立てるための体験授業を実施させていただいております。"",""attachment"":null},{""type"":""cta"",""text"":""ご安心ください。3.14は一人ひとりの生徒さんに寄り添い、その子に合った指導方法で確実に成績アップを目指します。まずは無料の体験授業にお気軽にご参加ください。体験授業では、現在の学習状況や目標についてもじっくりとお話を伺わせていただきます。"",""attachment"":null}]"
53-2,User_S,Hyunse0001,general,成績があまり良くないのですが、入会テストはありますか？,200,3.14では、合否を決めるような入会テストは一切実施していません。その代わりに、お子様の現在の学力を正確に把握し、最適な学習プランを立てるための体験授業を実施させていただいております。,,ご安心ください。3.14は、成績に関係なく、「学ぶ意欲」を大切にしています。まずは無料の体験授業やカウンセリングを通じて、お子様の目標や学習状況についてじっくりとお話させていただければと思います。お気軽にお近くの教室へお問い合わせください。,4097,성공,,2025-07-27T13:55:40.957Z,"[{""type"":""main"",""text"":""3.14では、合否を決めるような入会テストは一切実施していません。その代わりに、お子様の現在の学力を正確に把握し、最適な学習プランを立てるための体験授業を実施させていただいております。"",""attachment"":null},{""type"":""cta"",""text"":""ご安心ください。3.14は、成績に関係なく、「学ぶ意欲」を大切にしています。まずは無料の体験授業やカウンセリングを通じて、お子様の目標や学習状況についてじっくりとお話させていただければと思います。お気軽にお近くの教室へお問い合わせください。"",""attachment"":null}]"
54-1,User_S,Hyunse0001,general,授業料はどのように支払えばよいですか？,200,3.14では、授業料のお支払いは銀行口座からの自動引き落としとなっており、毎月27日に翌月分の授業料が引き落とされます。初回のみ、入会金と初月分の授業料を現金でお支払いいただきます。,,ご不明な点がございましたら、お気軽に各教室のスタッフまでお問い合わせください。また、具体的な授業料については、お通いになる教室やコースによって異なりますので、詳しい情報をお知りになりたい場合はお申し付けください。,3995,성공,,2025-07-27T13:55:45.954Z,"[{""type"":""main"",""text"":""3.14では、授業料のお支払いは銀行口座からの自動引き落としとなっており、毎月27日に翌月分の授業料が引き落とされます。初回のみ、入会金と初月分の授業料を現金でお支払いいただきます。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、お気軽に各教室のスタッフまでお問い合わせください。また、具体的な授業料については、お通いになる教室やコースによって異なりますので、詳しい情報をお知りになりたい場合はお申し付けください。"",""attachment"":null}]"
54-2,User_S,Hyunse0001,general,授業料はどのように支払えばよいですか？,200,3.14では、授業料のお支払いは銀行口座からの自動引き落としとなっており、毎月27日に翌月分の授業料が引き落とされます。初回のみ、入会金と初月分の授業料を現金でお支払いいただきます。,,ご不明な点がございましたら、お気軽に各教室のスタッフまでお問い合わせください。また、具体的な授業料については、コースや通学回数によって異なりますので、詳しくお知りになりたい場合はお申し付けください。,4578,성공,,2025-07-27T13:55:51.534Z,"[{""type"":""main"",""text"":""3.14では、授業料のお支払いは銀行口座からの自動引き落としとなっており、毎月27日に翌月分の授業料が引き落とされます。初回のみ、入会金と初月分の授業料を現金でお支払いいただきます。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、お気軽に各教室のスタッフまでお問い合わせください。また、具体的な授業料については、コースや通学回数によって異なりますので、詳しくお知りになりたい場合はお申し付けください。"",""attachment"":null}]"
55,User_S,Hyunse0001,general,年度途中からの入会は可能ですか？,200,3.14では、年度途中からでも随時入会を受け付けております。生徒一人ひとりの学習進度や目標に合わせて個別カリキュラムを作成し、スムーズに学習をスタートできる体制を整えています。,,ぜひ一度、無料の体験授業にお越しください。その際に、現在の学習状況や目標についてもご相談させていただきます。お気軽にお問い合わせください。,3702,성공,,2025-07-27T13:55:56.237Z,"[{""type"":""main"",""text"":""3.14では、年度途中からでも随時入会を受け付けております。生徒一人ひとりの学習進度や目標に合わせて個別カリキュラムを作成し、スムーズに学習をスタートできる体制を整えています。"",""attachment"":null},{""type"":""cta"",""text"":""ぜひ一度、無料の体験授業にお越しください。その際に、現在の学習状況や目標についてもご相談させていただきます。お気軽にお問い合わせください。"",""attachment"":null}]"
56,User_S,Hyunse0001,general,私の成績がまとめられた資料をいただきたいです,200,成績資料のご依頼について、以下のご案内をさせていただきます。,3.14コミュニティでは、生徒様の成績資料につきましては、各教室で直接お渡しさせていただいております。また、保護者様からのご依頼の場合は、個人情報保護の観点から、ご本人様確認をさせていただく必要がございます。,お手数ですが、フリーダイヤル（0120-876-314）までお電話いただくか、通われている教室の担当講師までお申し付けください。受付時間は10:00～19:00（月〜土）となっております。,4292,성공,,2025-07-27T13:56:01.532Z,"[{""type"":""main"",""text"":""成績資料のご依頼について、以下のご案内をさせていただきます。"",""attachment"":null},{""type"":""sub"",""text"":""3.14コミュニティでは、生徒様の成績資料につきましては、各教室で直接お渡しさせていただいております。また、保護者様からのご依頼の場合は、個人情報保護の観点から、ご本人様確認をさせていただく必要がございます。"",""attachment"":null},{""type"":""cta"",""text"":""お手数ですが、フリーダイヤル（0120-876-314）までお電話いただくか、通われている教室の担当講師までお申し付けください。受付時間は10:00～19:00（月〜土）となっております。"",""attachment"":null}]"
57,User_S,Hyunse0001,general,私の成績が分析された内容を知りたいです,200,申し訳ございませんが、個人の成績分析情報にはアクセスできません。,3.14では、生徒一人ひとりの成績分析と学習計画の作成は、担任の先生が直接面談を通じて行っております。実際の成績データや分析結果については、プライバシー保護の観点からシステム上で確認することはできません。,まずは最寄りの校舎で無料の個別相談・体験授業をお申し込みいただければ、現在の学習状況や目標に合わせた具体的なアドバイスをさせていただきます。校舎についての詳しい情報をお知りになりたい場合は、お気軽にお申し付けください。,4277,성공,,2025-07-27T13:56:06.811Z,"[{""type"":""main"",""text"":""申し訳ございませんが、個人の成績分析情報にはアクセスできません。"",""attachment"":null},{""type"":""sub"",""text"":""3.14では、生徒一人ひとりの成績分析と学習計画の作成は、担任の先生が直接面談を通じて行っております。実際の成績データや分析結果については、プライバシー保護の観点からシステム上で確認することはできません。"",""attachment"":null},{""type"":""cta"",""text"":""まずは最寄りの校舎で無料の個別相談・体験授業をお申し込みいただければ、現在の学習状況や目標に合わせた具体的なアドバイスをさせていただきます。校舎についての詳しい情報をお知りになりたい場合は、お気軽にお申し付けください。"",""attachment"":null}]"
58,User_S,Hyunse0001,general,私が登録した塾について知りたいです。塾の紹介をしてください,200,申し訳ございません。具体的にどの塾・教室についてお知りになりたいのか、お教えいただけますでしょうか。,,3.14コミュニティには多数の教室がございますので、具体的な教室名をお伺いできましたら、詳しい情報をご案内させていただきます。教室名をご存知でない場合は、全体の概要をご案内することも可能です。,3844,성공,,2025-07-27T13:56:11.657Z,"[{""type"":""main"",""text"":""申し訳ございません。具体的にどの塾・教室についてお知りになりたいのか、お教えいただけますでしょうか。"",""attachment"":null},{""type"":""cta"",""text"":""3.14コミュニティには多数の教室がございますので、具体的な教室名をお伺いできましたら、詳しい情報をご案内させていただきます。教室名をご存知でない場合は、全体の概要をご案内することも可能です。"",""attachment"":null}]"
59,User_S,Hyunse0001,general,私たちの塾に開設された講義を知りたいです,200,3.14では、幼児から高校生まで幅広い年齢層に向けた多様なコースを提供しています。幼児向けには東京ISや脳力開発コース、小中学生向けには個別指導3.14、高校生向けには3.14ハイスクールやBrainsGymなどが開設されています。,🎓 主なコース:- 幼児: 東京IS(2歳～小4)、脳力開発コース(年長～小6)- 小学生: 個別指導3.14(小3～小6)- 中学生: 個別指導3.14(中1～中3)- 高校生: 3.14ハイスクール、BrainsGym- オンライン: BrainsGym(中3～高3),詳しい内容や各コースのカリキュラムについては、お気軽に教室スタッフにお尋ねください。お子様の目標や学習状況に合わせて最適なコースをご提案させていただきます。,7492,성공,,2025-07-27T13:56:20.151Z,"[{""type"":""main"",""text"":""3.14では、幼児から高校生まで幅広い年齢層に向けた多様なコースを提供しています。幼児向けには東京ISや脳力開発コース、小中学生向けには個別指導3.14、高校生向けには3.14ハイスクールやBrainsGymなどが開設されています。"",""attachment"":null},{""type"":""sub"",""text"":""🎓 主なコース:\n- 幼児: 東京IS(2歳～小4)、脳力開発コース(年長～小6)\n- 小学生: 個別指導3.14(小3～小6)\n- 中学生: 個別指導3.14(中1～中3)\n- 高校生: 3.14ハイスクール、BrainsGym\n- オンライン: BrainsGym(中3～高3)"",""attachment"":null},{""type"":""cta"",""text"":""詳しい内容や各コースのカリキュラムについては、お気軽に教室スタッフにお尋ねください。お子様の目標や学習状況に合わせて最適なコースをご提案させていただきます。"",""attachment"":null}]"
60,User_S,Hyunse0001,general,英語の授業を受けたいのですが、どのような講義があるか教えてください,200,3.14では、Leptonコースを通じて年長から小学6年生までのお子様に、「生きた英語」を学ぶ機会を提供しています。「聞く・話す・読む・書く」の4技能をバランスよく習得できるカリキュラムを展開しています。,世界基準の授業と経験豊富な講師陣による丁寧な個別指導で、英語を楽しみながら学べる環境を整えています。将来の受験や国際社会での活躍を見据えた実践的な英語力を養成します。,詳しい授業内容やカリキュラムについては、フリーダイヤル（0120-876-314）までお気軽にお問い合わせください。体験授業も実施していますので、実際の授業の雰囲気を体験していただくことも可能です。,7850,성공,,2025-07-27T13:56:29.004Z,"[{""type"":""main"",""text"":""3.14では、Leptonコースを通じて年長から小学6年生までのお子様に、「生きた英語」を学ぶ機会を提供しています。「聞く・話す・読む・書く」の4技能をバランスよく習得できるカリキュラムを展開しています。"",""attachment"":null},{""type"":""sub"",""text"":""世界基準の授業と経験豊富な講師陣による丁寧な個別指導で、英語を楽しみながら学べる環境を整えています。将来の受験や国際社会での活躍を見据えた実践的な英語力を養成します。"",""attachment"":null},{""type"":""cta"",""text"":""詳しい授業内容やカリキュラムについては、フリーダイヤル（0120-876-314）までお気軽にお問い合わせください。体験授業も実施していますので、実際の授業の雰囲気を体験していただくことも可能です。"",""attachment"":null}]"
61,User_S,Hyunse0001,general,私に合ったおすすめの講義を案内してください,200,3.14では、生徒一人一人に合わせた最適な講座をご提案させていただいております。まずは、どのような目標や学習段階にいらっしゃるのかをお伺いする必要がございます。,,具体的な講座のご案内をさせていただくために、以下の情報をお聞かせいただけますでしょうか？・現在の学年・目標の学校や志望校・得意/不得意な科目・現在の学習状況や課題,3668,성공,,2025-07-27T13:56:33.674Z,"[{""type"":""main"",""text"":""3.14では、生徒一人一人に合わせた最適な講座をご提案させていただいております。まずは、どのような目標や学習段階にいらっしゃるのかをお伺いする必要がございます。"",""attachment"":null},{""type"":""cta"",""text"":""具体的な講座のご案内をさせていただくために、以下の情報をお聞かせいただけますでしょうか？\n・現在の学年\n・目標の学校や志望校\n・得意/不得意な科目\n・現在の学習状況や課題"",""attachment"":null}]"
62-1,User_S,Hyunse0001,general,受講申込方法を案内してください,200,3.14では、受講のお申し込みは簡単な手順で行っていただけます。お子様に合った最適な学習プランをご提案させていただきます。,🔷 お申し込みの流れ・無料体験授業のご予約（電話またはWebフォーム）・教室見学・カウンセリング（約60分）・学習プランのご提案・入会手続き,まずは無料体験授業から始めてみませんか？お電話（0120-876-314）またはWebフォームからお気軽にお申し込みください。ご不明な点がございましたら、お気軽にお問い合わせください。,4300,성공,,2025-07-27T13:56:38.976Z,"[{""type"":""main"",""text"":""3.14では、受講のお申し込みは簡単な手順で行っていただけます。お子様に合った最適な学習プランをご提案させていただきます。"",""attachment"":null},{""type"":""sub"",""text"":""🔷 お申し込みの流れ\n・無料体験授業のご予約（電話またはWebフォーム）\n・教室見学・カウンセリング（約60分）\n・学習プランのご提案\n・入会手続き"",""attachment"":null},{""type"":""cta"",""text"":""まずは無料体験授業から始めてみませんか？お電話（0120-876-314）またはWebフォームからお気軽にお申し込みください。ご不明な点がございましたら、お気軽にお問い合わせください。"",""attachment"":null}]"
62-2,User_S,Hyunse0001,general,受講申込方法を案内してください,200,3.14では、受講のお申し込みは簡単な手順で行っていただけます。お子様に合った最適な学習プランをご提案させていただきます。,🔷 お申し込みの流れ・無料体験授業のご予約（電話またはWebフォーム）・教室見学・カウンセリング（約60分）・学習プランのご提案・入会手続き,まずは無料体験授業から始めてみませんか？お電話（0120-876-314）またはWebフォームからお気軽にお申し込みください。ご不明な点がございましたら、お気軽にお問い合わせください。,4734,성공,,2025-07-27T13:56:44.712Z,"[{""type"":""main"",""text"":""3.14では、受講のお申し込みは簡単な手順で行っていただけます。お子様に合った最適な学習プランをご提案させていただきます。"",""attachment"":null},{""type"":""sub"",""text"":""🔷 お申し込みの流れ\n・無料体験授業のご予約（電話またはWebフォーム）\n・教室見学・カウンセリング（約60分）\n・学習プランのご提案\n・入会手続き"",""attachment"":null},{""type"":""cta"",""text"":""まずは無料体験授業から始めてみませんか？お電話（0120-876-314）またはWebフォームからお気軽にお申し込みください。ご不明な点がございましたら、お気軽にお問い合わせください。"",""attachment"":null}]"
63,User_S,Hyunse0001,general,どのような授業を受けるとよいか総合的に相談したいです。案内をお願いします,200,3.14では、お子様の学年や目標に合わせて最適なコースをご提案させていただいております。幼児から高校生まで、それぞれの発達段階に応じた多様なコースをご用意しています。,🎓 コース例：・幼児：グローバルスキル育成、脳力開発・小学生：個別指導、探究型学習・中学生：定額制個別指導・高校生：進学対策、難関大受験対策,まずは無料の個別相談で、お子様の現状や目標をお伺いしながら、最適なコースをご提案させていただきます。お気軽にお近くの教室までお問い合わせください。,5956,성공,,2025-07-27T13:56:51.672Z,"[{""type"":""main"",""text"":""3.14では、お子様の学年や目標に合わせて最適なコースをご提案させていただいております。幼児から高校生まで、それぞれの発達段階に応じた多様なコースをご用意しています。"",""attachment"":null},{""type"":""sub"",""text"":""🎓 コース例：\n・幼児：グローバルスキル育成、脳力開発\n・小学生：個別指導、探究型学習\n・中学生：定額制個別指導\n・高校生：進学対策、難関大受験対策"",""attachment"":null},{""type"":""cta"",""text"":""まずは無料の個別相談で、お子様の現状や目標をお伺いしながら、最適なコースをご提案させていただきます。お気軽にお近くの教室までお問い合わせください。"",""attachment"":null}]"
HIGH_A-1,User_S,faq_user_001,授業・カリキュラム,大学受験対策はどの科目に対応していますか？,200,3.14コミュニティでは、英語・数学・国語・理科・社会の主要5科目すべてに対応しています。,志望大学や入試形式（共通テスト・推薦など）に合わせてお子様専用のカリキュラム・プランをご提案いたします🧑‍🏫,詳しい内容は体験や資料請求でご案内しておりますので、ぜひお気軽にご相談ください！,45,성공,,2025-07-27T13:56:52.721Z,"[{""type"":""main"",""text"":""3.14コミュニティでは、英語・数学・国語・理科・社会の主要5科目すべてに対応しています。"",""attachment"":null},{""type"":""sub"",""text"":""志望大学や入試形式（共通テスト・推薦など）に合わせてお子様専用のカリキュラム・プランをご提案いたします🧑‍🏫"",""attachment"":null},{""type"":""cta"",""text"":""詳しい内容は体験や資料請求でご案内しておりますので、ぜひお気軽にご相談ください！"",""attachment"":null}]"
HIGH_A-2,User_S,faq_user_001,授業・カリキュラム,難関大学向けの指導はありますか？,200,はい、ございます！3.14コミュニティでは、北海道大学をはじめとした難関大学志望の方向けに「難関国立大受験コース」「有名私立大受験コース」を用意しております。,また、さらに上のレベルを目指す方には、よりパーソナルなコーチングをご提供する「Brains Gym」もおすすめです☺️Brains Gymのサイトはこちら➡️ https://www.brainsgym.com/,ご興味がございましたら、いつでもご相談くださいね！,47,성공,,2025-07-27T13:56:53.769Z,"[{""type"":""main"",""text"":""はい、ございます！3.14コミュニティでは、北海道大学をはじめとした難関大学志望の方向けに「難関国立大受験コース」「有名私立大受験コース」を用意しております。"",""attachment"":null},{""type"":""sub"",""text"":""また、さらに上のレベルを目指す方には、よりパーソナルなコーチングをご提供する「Brains Gym」もおすすめです☺️\n\nBrains Gymのサイトはこちら\n➡️ https://www.brainsgym.com/"",""attachment"":null},{""type"":""cta"",""text"":""ご興味がございましたら、いつでもご相談くださいね！"",""attachment"":null}]"
HIGH_A-3,User_S,faq_user_001,授業・カリキュラム,定期テスト対策と受験対策は両立できますか？,200,もちろん可能です！3.14コミュニティでは、学校別の定期テスト対策と、大学受験に向けた長期的な指導を同時に行っています。,担任が学習スケジュールをしっかり管理し、どちらもバランスよくサポートいたしますのでご安心ください✨,他にもご不安な点があれば、お気軽にご相談くださいね！,50,성공,,2025-07-27T13:56:54.819Z,"[{""type"":""main"",""text"":""もちろん可能です！3.14コミュニティでは、学校別の定期テスト対策と、大学受験に向けた長期的な指導を同時に行っています。"",""attachment"":null},{""type"":""sub"",""text"":""担任が学習スケジュールをしっかり管理し、どちらもバランスよくサポートいたしますのでご安心ください✨"",""attachment"":null},{""type"":""cta"",""text"":""他にもご不安な点があれば、お気軽にご相談くださいね！"",""attachment"":null}]"
HIGH_A-4,User_S,faq_user_001,授業・カリキュラム,苦手な科目だけ受講することは可能ですか？,200,はい、可能です！3.14コミュニティの授業は『超・個人別指導』なので、必要な科目だけピンポイントで学習できます。,AI教材と講師の連携により、苦手分野を見える化し、効率的に克服していきます✏️,お気軽に無料体験からスタートしてみてくださいね！,49,성공,,2025-07-27T13:56:55.869Z,"[{""type"":""main"",""text"":""はい、可能です！3.14コミュニティの授業は『超・個人別指導』なので、必要な科目だけピンポイントで学習できます。"",""attachment"":null},{""type"":""sub"",""text"":""AI教材と講師の連携により、苦手分野を見える化し、効率的に克服していきます✏️"",""attachment"":null},{""type"":""cta"",""text"":""お気軽に無料体験からスタートしてみてくださいね！"",""attachment"":null}]"
HIGH_A-5,User_S,faq_user_001,授業・カリキュラム,高1・高2から受験対策を始められますか？,200,はい、むしろ高1・高2からのスタートが理想的です！3.14では志望校別の長期プランを設計し、早期から無理なく受験準備ができます。,また、推薦や総合型選抜などにも対応したサポート体制を整えています🧑‍🏫,タイミングに関するご相談も、お気軽にどうぞ！,40,성공,,2025-07-27T13:56:56.911Z,"[{""type"":""main"",""text"":""はい、むしろ高1・高2からのスタートが理想的です！3.14では志望校別の長期プランを設計し、早期から無理なく受験準備ができます。"",""attachment"":null},{""type"":""sub"",""text"":""また、推薦や総合型選抜などにも対応したサポート体制を整えています🧑‍🏫"",""attachment"":null},{""type"":""cta"",""text"":""タイミングに関するご相談も、お気軽にどうぞ！"",""attachment"":null}]"
HIGH_B-1,User_S,faq_user_001,通塾・学習時間,部活と両立できますか？,200,はい、もちろん可能です！3.14コミュニティでは、部活や学校生活と両立しながら学べる個別時間割を組むことができます。,授業がない日も自習スペースをご利用いただけるので、スキマ時間を有効に活用できます👀▶️ 時間割の例はこちら（image）,両立のご相談も大歓迎です。ぜひお気軽にご相談ください！,51,성공,,2025-07-27T13:56:57.963Z,"[{""type"":""main"",""text"":""はい、もちろん可能です！3.14コミュニティでは、部活や学校生活と両立しながら学べる個別時間割を組むことができます。"",""attachment"":null},{""type"":""sub"",""text"":""授業がない日も自習スペースをご利用いただけるので、スキマ時間を有効に活用できます👀\n\n▶️ 時間割の例はこちら\n（image）"",""attachment"":null},{""type"":""cta"",""text"":""両立のご相談も大歓迎です。ぜひお気軽にご相談ください！"",""attachment"":null}]"
HIGH_B-2,User_S,faq_user_001,通塾・学習時間,自習室はいつでも使えますか？,200,はい、開校時間内であれば授業のない日でも自習室をご利用いただけます！,講師が近くにいる環境なので、わからないところをすぐに質問できるのも安心ポイントです❣️,どんどん活用して、学習リズムを整えていきましょう！,937,성공,,2025-07-27T13:56:59.903Z,"[{""type"":""main"",""text"":""はい、開校時間内であれば授業のない日でも自習室をご利用いただけます！"",""attachment"":null},{""type"":""sub"",""text"":""講師が近くにいる環境なので、わからないところをすぐに質問できるのも安心ポイントです❣️"",""attachment"":null},{""type"":""cta"",""text"":""どんどん活用して、学習リズムを整えていきましょう！"",""attachment"":null}]"
HIGH_B-3,User_S,faq_user_001,通塾・学習時間,通塾の時間帯は選べますか？,200,はい、ご希望の時間帯に合わせて、通塾スケジュールを個別に設定できます。,部活や学校の行事と両立できるよう、担任が最適な時間割をご提案いたします✨▶️ 時間割の例はこちら（image）,お気軽にご希望をお聞かせくださいね！,1184,성공,,2025-07-27T13:57:02.088Z,"[{""type"":""main"",""text"":""はい、ご希望の時間帯に合わせて、通塾スケジュールを個別に設定できます。"",""attachment"":null},{""type"":""sub"",""text"":""部活や学校の行事と両立できるよう、担任が最適な時間割をご提案いたします✨\n\n▶️ 時間割の例はこちら\n（image）"",""attachment"":null},{""type"":""cta"",""text"":""お気軽にご希望をお聞かせくださいね！"",""attachment"":null}]"
HIGH_B-4,User_S,faq_user_001,通塾・学習時間,授業の振替はできますか？,200,体調不良や急な予定変更などがあっても大丈夫です！🙆‍♀️,担任にご連絡いただければ、柔軟に振替対応させていただきますのでご安心ください✨,学びのリズムを崩さず続けられるよう、しっかりサポートいたします。,1047,성공,,2025-07-27T13:57:04.138Z,"[{""type"":""main"",""text"":""体調不良や急な予定変更などがあっても大丈夫です！🙆‍♀️"",""attachment"":null},{""type"":""sub"",""text"":""担任にご連絡いただければ、柔軟に振替対応させていただきますのでご安心ください✨"",""attachment"":null},{""type"":""cta"",""text"":""学びのリズムを崩さず続けられるよう、しっかりサポートいたします。"",""attachment"":null}]"
HIGH_B-5,User_S,faq_user_001,通塾・学習時間,夏期・冬期講習はどのくらいの期間ありますか？,200,講習会は春・夏・冬にそれぞれ実施しており、期間はおおよそ1〜3週間程度です。,日程や受講内容は自由に選べるので、部活や帰省との両立も可能です✨,詳細なスケジュールはお気軽にお問い合わせください！,881,성공,,2025-07-27T13:57:06.020Z,"[{""type"":""main"",""text"":""講習会は春・夏・冬にそれぞれ実施しており、期間はおおよそ1〜3週間程度です。"",""attachment"":null},{""type"":""sub"",""text"":""日程や受講内容は自由に選べるので、部活や帰省との両立も可能です✨"",""attachment"":null},{""type"":""cta"",""text"":""詳細なスケジュールはお気軽にお問い合わせください！"",""attachment"":null}]"
HIGH_C-1,User_S,faq_user_001,料金・制度,授業料はいくらですか？学年や科目で変わりますか？,200,3.14コミュニティでは、授業受け放題の【定額制】を導入しています✨,受講科目であれば、どれだけ授業を受けても定額で必要な学習サポートが受けられるのが特徴です。▶️ 料金プランはこちら(image),詳しい内容は体験や資料請求でご案内しておりますので、ぜひお気軽にご相談ください！,897,성공,,2025-07-27T13:57:07.920Z,"[{""type"":""main"",""text"":""3.14コミュニティでは、授業受け放題の【定額制】を導入しています✨"",""attachment"":null},{""type"":""sub"",""text"":""受講科目であれば、どれだけ授業を受けても定額で必要な学習サポートが受けられるのが特徴です。\n\n▶️ 料金プランはこちら\n(image)"",""attachment"":null},{""type"":""cta"",""text"":""詳しい内容は体験や資料請求でご案内しておりますので、ぜひお気軽にご相談ください！"",""attachment"":null}]"
HIGH_C-2,User_S,faq_user_001,料金・制度,教材費は別途かかりますか？,200,はい、教材費は別途ご案内しておりますが、必要な分のみをご提案しております。,お子様専用のカリキュラムに応じて、最適な教材を選定いたします📚,無理なく学べるように配慮していますのでご安心ください！,53,성공,,2025-07-27T13:57:08.974Z,"[{""type"":""main"",""text"":""はい、教材費は別途ご案内しておりますが、必要な分のみをご提案しております。"",""attachment"":null},{""type"":""sub"",""text"":""お子様専用のカリキュラムに応じて、最適な教材を選定いたします📚"",""attachment"":null},{""type"":""cta"",""text"":""無理なく学べるように配慮していますのでご安心ください！"",""attachment"":null}]"
HIGH_C-3,User_S,faq_user_001,料金・制度,無料体験はできますか？,200,はい！3.14コミュニティでは、体験授業や教室見学を随時受け付けております。,,実際の雰囲気や授業スタイルを体感してから入塾をご検討ください🙇‍♂,58,성공,,2025-07-27T13:57:10.033Z,"[{""type"":""main"",""text"":""はい！3.14コミュニティでは、体験授業や教室見学を随時受け付けております。"",""attachment"":null},{""type"":""cta"",""text"":""実際の雰囲気や授業スタイルを体感してから入塾をご検討ください🙇‍♂"",""attachment"":null}]"
HIGH_C-4,User_S,faq_user_001,料金・制度,複数科目の受講は割引がありますか？,200,はい！複数科目の受講で1科目あたりの料金がお得になります。,『苦手はじっくり』『得意は先取り』など、教科を組み合わせて学べるのが3.14の魅力です✨▶️ 料金プランはこちら(image),-詳しい内容は体験や資料請求でご案内しておりますので、ぜひお気軽にご相談ください！,56,성공,,2025-07-27T13:57:11.091Z,"[{""type"":""main"",""text"":""はい！複数科目の受講で1科目あたりの料金がお得になります。"",""attachment"":null},{""type"":""sub"",""text"":""『苦手はじっくり』『得意は先取り』など、教科を組み合わせて学べるのが3.14の魅力です✨\n\n▶️ 料金プランはこちら\n(image)"",""attachment"":null},{""type"":""cta"",""text"":""-\n詳しい内容は体験や資料請求でご案内しておりますので、ぜひお気軽にご相談ください！"",""attachment"":null}]"
HIGH_C-5,User_S,faq_user_001,料金・制度,模試や外部試験の費用は含まれますか？,200,模試や外部試験などは、コースに応じて別途ご案内する場合があります。,ただし、担任が一人ひとりに必要なものだけをご提案いたしますのでご安心ください❣️,結果は丁寧にフィードバックし、次の学習計画に活かします！,45,성공,,2025-07-27T13:57:12.138Z,"[{""type"":""main"",""text"":""模試や外部試験などは、コースに応じて別途ご案内する場合があります。"",""attachment"":null},{""type"":""sub"",""text"":""ただし、担任が一人ひとりに必要なものだけをご提案いたしますのでご安心ください❣️"",""attachment"":null},{""type"":""cta"",""text"":""結果は丁寧にフィードバックし、次の学習計画に活かします！"",""attachment"":null}]"
